"Genename"	"padj"	"pvalue"	"lfcSE"	"stat"	"log2FoldChange"	"baseMean"
"KDM6B"	1.52254488652687e-141	9.31169263861789e-144	0.0697588066933415	25.5293491465443	1.78089693212061	1531.13037433972
"SKI"	1.83096011155592e-140	1.13978841652037e-142	0.0615989343257538	25.4311986435128	1.56653473506695	3092.24915013178
"COL4A2"	2.87545826786983e-140	1.80569923445111e-142	0.0480606202177296	25.4131279305223	1.22137069001341	7413.25448214842
"RHBDL3"	3.17240286302864e-137	2.00949452362432e-139	0.0929249515265024	25.1360209632396	2.33576352957819	731.789679141794
"KCTD11"	1.8527071622577e-136	1.1836768305802e-138	0.0843225234767419	25.0654841881823	2.11358487891391	793.369439166392
"TMC7"	5.03586145553953e-136	3.24486240241176e-138	0.0782587007959886	25.0252832729374	1.95844615599167	1075.64427422099
"STK38L"	6.82638981948451e-136	4.43586735389426e-138	0.0620793610362664	25.0128066529511	1.55277905473888	1892.16561294347
"KLF7"	1.03904911867245e-135	6.80860013327659e-138	0.067014666800195	24.9956983100351	1.6750783936852	2448.18094440792
"HMOX1"	2.36011551155312e-135	1.55940576037748e-137	0.0545947612123834	24.9625754051601	1.36282584349083	19287.6858533261
"RHOU"	2.71066874704606e-135	1.80582966821176e-137	0.0745976315158476	24.956706693714	1.86171120978676	1051.63784951185
"ZYX"	4.35552479736112e-134	2.92540572312247e-136	0.0579508324073835	24.8450428196475	1.43979091259566	5471.41665875777
"INHBB"	4.45663496719972e-134	3.01765268351862e-136	0.0594488643361952	-24.843795214023	-1.47693541127467	2043.50682684696
"VDR"	5.5132112296046e-133	3.76318136679176e-135	0.078243837771918	24.7421824023945	1.93592330601616	954.897997954353
"AGR2"	4.01682844673682e-132	2.76372186036608e-134	0.0449334749541372	-24.6615955741521	-1.10813118706023	23212.1455610384
"IRAK2"	4.99347049751085e-132	3.46295392990705e-134	0.0688531946649723	24.6524633091437	1.69740085519556	1460.82598252056
"KRT80"	3.79867527815324e-131	2.65511077160277e-133	0.0457249965708209	24.5698339636244	1.12345557373236	6443.00259640969
"TP53I3"	5.57192025966639e-131	3.92495884615827e-133	0.0466491744571472	24.5539465550657	1.14542133645873	6430.09207218524
"RET"	6.73495307325096e-131	4.78099655721414e-133	0.127174178074973	24.5459234213851	3.12160763620588	430.12480081799
"SLC7A1"	1.30834629339598e-130	9.35910907196384e-133	0.0531987290902576	24.5185883684018	1.30435774028615	4884.15435085957
"CDKN1A"	4.09197962391797e-130	2.94949658907427e-132	0.0457593051349118	24.4718050774037	1.119812795739	13364.8178491057
"CDC42SE1"	8.33490469170094e-130	6.05330816357901e-132	0.0505159507445217	24.4424568103875	1.23473394430863	4579.02569940388
"ACAP1"	5.52393810764942e-129	4.04197950322188e-131	0.0819466314523574	24.3647821687845	1.99661182480235	860.32637607581
"AQP3"	2.17883593763132e-128	1.60619697253442e-130	0.0601871507797682	-24.3081839359545	-1.46304033173563	1951.14064427546
"PREX1"	4.51018705024754e-128	3.34945360581917e-130	0.0605837382810678	24.2779823789677	1.47085093043975	1933.22809669709
"S1PR5"	4.19031853401078e-126	3.13478752339582e-128	0.144873267610587	24.090620617222	3.49008692758394	375.655116535244
"SMURF2"	5.63808138361944e-126	4.24864976213336e-128	0.0552210515936339	24.0780182946102	1.32961349051913	2570.99492833332
"DCBLD1"	5.77255258009367e-123	4.38150389686573e-125	0.0474297969025751	23.788610173155	1.12828894910727	4825.64752272765
"EFR3B"	6.93049182227607e-123	5.29825181629799e-125	0.0683569327357155	23.7806364993007	1.6255713695952	1724.45466677064
"PTPRE"	4.15992679236097e-122	3.20291420151202e-124	0.122931487974891	23.7049885820301	2.91408951881676	479.459645754086
"DAAM1"	1.80507758048309e-121	1.39966699300278e-123	0.0840890539773721	23.6428044397596	1.9881010587114	906.753708741401
"SOX4"	4.84766281055431e-120	3.78537531758459e-122	0.0564050859238972	23.5031703166733	1.32569834119595	5384.75432989338
"OLFM2"	5.23828414948401e-120	4.11900244375961e-122	0.106583250867576	23.49958270299	2.50466191851614	568.820157915961
"ANKRD30A"	1.53452903399297e-119	1.2150205314748e-121	0.128024580777024	23.4535886656239	3.00263585663326	393.709989786858
"PRRX2"	6.28021928969953e-119	5.00689136840568e-121	0.149484183200725	23.3932436122479	3.49691991379246	387.419537338124
"FHOD3"	1.09358169525752e-117	8.83798890941478e-120	0.0862721112066155	23.2704249632637	2.00758869025589	1013.29104566153
"NKILA"	1.27438553205262e-117	1.03687786968732e-119	0.108088133633804	23.2635720623279	2.51451608587252	525.806751580275
"DNMBP"	1.90168740417483e-117	1.56803799503303e-119	0.0573494743779394	23.2458186425904	1.33313548063746	4342.49460318001
"HNF4A"	1.72047798514517e-116	1.42801645684522e-118	0.0505096001850376	23.1507700949151	1.16933614146989	3026.22761403898
"TIPARP"	5.70183712507487e-116	4.76372566011279e-118	0.0609842320643118	23.0987694341566	1.40866071557264	2376.01877788074
"SMURF1"	1.05058479929488e-113	8.83471081152248e-116	0.0492967003099554	22.871973078544	1.12751280235035	3517.95806310871
"CITED4"	3.06912206398446e-113	2.59768426755634e-115	0.0870745244767018	22.8248598382691	1.98746381666465	1748.86881657728
"CYP26B1"	1.31955852671035e-111	1.13127662695094e-113	0.081595370853265	22.6592352759208	1.84888870559015	780.502660582543
"LGR4"	1.15376342951445e-110	9.95438332677786e-113	0.0475626183974588	-22.5632459620389	-1.07316705750046	14083.2472515184
"FAM177A1"	1.63961391062513e-110	1.42357129792713e-112	0.0487926638023192	22.5474163679487	1.10014850645223	3914.67362675892
"SPHK1"	8.13208436788963e-110	7.10497187168864e-112	0.105815855536631	22.4761437967803	2.37833238502064	649.336295484592
"PHLDA1"	2.5816932131542e-109	2.26971335836742e-111	0.0507408322379455	22.4245118983307	1.13783839625101	4468.08933205844
"CEP170"	8.80126732790832e-109	7.78575496707884e-111	0.0625904226265022	22.3695850406554	1.4001217816741	3232.05641724517
"SOX8"	9.66171216365234e-108	8.59967827595332e-110	0.150331285166138	22.2621628741031	3.34669955544181	332.075856517935
"CCL2"	2.84746725292423e-107	2.55001708884167e-109	0.0804242902193763	22.2133821095608	1.78649548953322	1080.60504436932
"COL11A1"	1.54673986960359e-106	1.39361152451587e-108	0.0615720225508661	22.1369474736682	1.36301662905603	1899.55500836607
"ADGRG1"	2.81628191373144e-106	2.55284659902484e-108	0.0508455793173403	22.1096422634628	1.12417756938492	12193.3463743235
"EPHA7"	1.11777152147938e-104	1.01931875764242e-106	0.156796034429548	21.9425886478106	3.44051088509552	309.454055177392
"PEA15"	1.4185515439102e-104	1.30135236922904e-106	0.0520327548409662	21.9314766148484	1.14115514600079	5151.63616978956
"ACKR3"	1.57773081278504e-104	1.45599578092432e-106	0.0831741567638063	21.9263667428089	1.8237070647271	807.313788816686
"HNF1B"	1.70808532400916e-104	1.58561953301784e-106	0.0523836357743502	21.9224848248779	1.14837946033512	2853.54187034509
"NKX3-1"	6.68488552347238e-104	6.24209809705552e-106	0.0802947218443746	21.8600169744303	1.75524398247519	867.782365196224
"ABLIM3"	5.65398041595571e-103	5.31035128894437e-105	0.0876410374065041	21.7620640858262	1.90724987258863	756.670693416846
"RNF182"	9.63006733103064e-103	9.09737152988751e-105	0.0943887174159046	21.7373650633689	2.05176200833269	748.56222921256
"EVA1A"	2.60210430296092e-102	2.47237562777917e-104	0.0906840393151402	21.6914198664099	1.96706557196673	875.426150452106
"VAV3"	1.28095597537986e-101	1.22408832900931e-103	0.0879218882836363	-21.6177073533404	-1.90066965086874	693.622842116216
"PPP1R14C"	4.12181014416446e-101	3.96133121483615e-103	0.212878000448705	21.5634299261367	4.59037984549176	263.603588013032
"ITPRIP"	7.51193823678445e-101	7.26048745651094e-103	0.0575093172748757	21.5353748332176	1.23848470391689	2461.32322413075
"TM4SF20"	1.43207735768511e-100	1.39196073646016e-102	0.0543587928638083	-21.5051960917747	-1.16899649984836	3695.14141093671
"MYOCD"	2.82228249792437e-100	2.75863357794169e-102	0.146677398368816	21.4734337761694	3.1496674003336	330.776230260138
"SLC2A3"	4.99484979191217e-100	4.90947940012118e-102	0.0498439347232462	21.4466309818697	1.06898447469386	3068.0049710086
"DPYSL3"	6.48769153726153e-100	6.41223266665394e-102	0.0686459705376255	21.4342029375381	1.47137166334773	1682.80436061209
"SIM2"	2.24055547422978e-99	2.22673017151652e-101	0.0742510753042928	21.3761696972688	1.58720358590924	1098.60264795874
"NEK7"	6.89675891587741e-99	6.89186305687526e-101	0.0523250043408381	21.3233660927693	1.11574522336544	3283.71706342937
"ST8SIA4"	4.09589420827985e-98	4.11535266927043e-100	0.0721456854407975	-21.2395820270414	-1.53234420381695	1040.41024790272
"SPDEF"	7.06970408231966e-98	7.14189513039446e-100	0.0675905595056792	-21.2136693720053	-1.43384378202233	1492.02770344023
"LDLRAD4"	1.07352083167956e-97	1.09034497183639e-99	0.140349242151698	21.1937593600851	2.97452806453341	360.865637433249
"ZFP36L1"	2.26662292180346e-96	2.31452239598781e-98	0.052115120714042	21.0494288110754	1.09699352345083	8933.31538601327
"SDC4"	5.7201213959115e-96	5.87223733102911e-98	0.0518748612905716	21.0052510509548	1.08964448464191	3366.10576153614
"ELF4"	7.18516285672251e-96	7.41547414361686e-98	0.0489119001391942	20.9941648180139	1.02686449308448	3269.50466273426
"CREB3L2"	8.44699469634037e-96	8.76387807734763e-98	0.0507419719630409	20.9862233502844	1.06488235685024	5119.67312569877
"ERBB3"	1.40439171611241e-95	1.46474536000367e-97	0.0875445492786346	-20.961789855067	-1.83509044493529	740.210282625072
"STAMBPL1"	2.36327199594972e-94	2.50354811999261e-96	0.0624672214641961	20.8262412538485	1.30095742467093	1795.4694256053
"PRR5L"	2.68687231344156e-94	2.861028237433e-96	0.119049310733172	20.8198461084501	2.47858832878169	418.8275519253
